,species,spearmanr,pval,averageAbundance
0,Enterococcus faecalis,-0.1022357900066851,0.17325784985588738,0.038424257776081425
1,Klebsiella michiganensis,0.46599682707562134,0.0001538188718185524,0.0028121432697201017
2,Klebsiella oxytoca,-0.025320947709007415,0.8400650495020123,0.009119548783715013
3,Escherichia coli,-0.19430590107668624,0.01961477034238077,0.050587409641221374
4,Klebsiella sp. M5al,-0.24938820912124582,0.18383913614113623,0.00046651922391857507
5,Klebsiella aerogenes,-0.24360261355030727,0.022190521417790432,0.004910095877862596
6,Enterobacter cloacae,-0.45361781076066787,2.4132616923820663e-06,0.012728676687022898
7,Enterobacter hormaechei,-0.4413426061971463,3.319541250233183e-05,0.010477821216284986
8,Veillonella parvula,-0.15799504478749762,0.25385353526502674,0.0018051599083969466
9,Enterobacter sp. DKU_NT_01,-0.17897959183673467,0.21851776980481483,0.0001897323562340967
10,Enterobacter sp. CRENT-193,-0.2985700866297882,0.014888806706992651,0.00034487183206106866
11,Staphylococcus epidermidis,0.12582802752588595,0.2922525626056752,0.006822411078880406
12,Enterococcus faecium,0.6553846153846153,0.0002789901418787838,0.011078087470737914
13,Bacteroides fragilis,-0.34675324675324676,0.12357109818269173,0.0010306238142493637
14,Citrobacter freundii,-0.502463054187192,0.005473797382054801,0.002244534717557252
15,Citrobacter,-0.3139130434782608,0.13522381083434734,8.925059796437658e-05
16,Klebsiella pneumoniae,0.1366768114361623,0.13331479362660664,0.052813341732824426
17,Klebsiella quasipneumoniae,-0.7334788435331837,1.838206894077541e-18,0.00323649996692112
18,Enterobacter roggenkampii,-0.43759733036707454,0.01559161664087705,0.0009052889033078881
19,Enterobacter sp. HK169,-0.12307692307692307,0.5577983491381822,0.00013093482951653945
20,Enterobacter asburiae,-0.3094017094017094,0.12402967143012682,0.000621170058524173
21,Bifidobacterium longum,0.35566502463054184,0.05829023496021259,0.004698737493638677
22,Clostridium perfringens,0.10910118711136234,0.6288783034375951,0.0012158716793893131
23,Klebsiella variicola,-0.5238095238095238,0.0012404940081972185,0.0029702446386768444
24,Enterobacteriaceae bacterium S05,-0.4857142857142857,0.029920782525592476,0.00027130062595419845
