PTR,abundance,Abundance Level,Cohort,Treatment,TreatmentType,species,Antibiotics_group,Gentamicin,Ampicillin,Meropenem,Vancomycin,Ticarcillin-Clavulanate,r_Gentamicin,r_Ampicillin,r_Meropenem,r_Vancomycin,r_Ticarcillin-Clavulanate
2.403968225,0.011927338999999999,medium,Antibiotic,Before,,Escherichia coli,Other,7.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1.52329877,0.001787154,medium,Antibiotic,Before,,Escherichia coli,Other,10.0,12.0,10.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0
1.628579327,0.11292011,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.606742278,0.029206062,medium,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.653087618,0.013600329,medium,Antibiotic,Before,,Escherichia coli,Other,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
1.667635461,0.035299578,medium,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.011981765,0.044772662000000005,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.895798238,0.016109129,medium,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.364128265,0.03222191,medium,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9283998869999999,0.047037221,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.600823593,0.082110062,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.694548965,0.013275779,medium,Antibiotic,After,Vanc+Cefot-After,Escherichia coli,,6.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0
1.871113279,0.085826,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.448052633,0.03947447,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.563838731,0.049348893,high,Antibiotic,After,Vanc+Gent-After,Escherichia coli,,5.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,2.0,0.0
1.696517614,0.056384601,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.612170387,0.091909256,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.003334497,0.060434873,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.725252341,0.083861147,high,Antibiotic,After,Vanc+Gent-After,Escherichia coli,,16.0,4.0,0.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0
1.212314468,0.013461962,medium,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4019524730000001,0.015852219,medium,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.991534694,0.123335115,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.305897048,0.018036077,medium,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.392068518,0.050257167,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.809534889,0.051559938,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.863945806,0.006318135,medium,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.591569831,0.05793305,high,Antibiotic,Before,Vanc+Gent-Before,Escherichia coli,,14.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1.616697271,0.069159838,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8764548230000002,0.025960927999999998,medium,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5630745780000002,0.151046709,high,Antibiotic,Before,Mero-Before,Escherichia coli,Ampicillin/Meropenem,6.0,9.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0
1.6777175340000001,0.03230018,medium,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.515912326,0.06444883400000001,high,Antibiotic,Before,,Escherichia coli,Other,9.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0
1.170340304,0.000390924,low,Control,Before,,Escherichia coli,Other,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7021806240000001,0.07877150599999999,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.71758982,0.090115164,high,Antibiotic,Before,Vanc+Mero-Before,Escherichia coli,Ampicillin/Meropenem,3.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8687849509999999,0.159026272,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.728817963,0.114357585,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.572596296,0.156554049,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5454661790000002,0.07234855700000001,high,Antibiotic,Before,,Escherichia coli,Other,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1.519477912,0.293215102,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.533227585,0.09889141300000001,high,Antibiotic,After,Vanc+Gent-After,Escherichia coli,,5.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0
1.511165965,0.124040135,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.499421701,0.027235258999999998,medium,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5735963990000001,0.33408022800000003,high,Antibiotic,Before,Amp-Before,Escherichia coli,Ampicillin/Meropenem,7.0,6.0,0.0,1.85,0.0,1.0,0.0,0.0,1.85,0.0
1.676130136,0.14802179699999998,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4866627540000001,0.22017755600000002,high,Control,Before,,Escherichia coli,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.580028355,0.179274435,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4472952590000001,0.262529352,high,Control,Before,,Escherichia coli,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.58382174,0.164888245,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.479824345,0.371182577,high,Control,Before,,Escherichia coli,Other,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.41813563,0.264694789,high,Control,Before,,Escherichia coli,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5244218109999998,0.19874604399999998,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.549832374,0.34095058200000006,high,Control,Before,,Escherichia coli,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.660578853,0.007065251999999999,medium,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5218091969999998,0.13844369199999998,high,Antibiotic,After,Amp-After,Escherichia coli,Ampicillin/Meropenem,7.0,10.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0
1.5189523630000001,0.316553717,high,Control,Before,,Escherichia coli,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5222438980000002,0.184325564,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9586645,0.032986088999999996,medium,Antibiotic,After,Cefot-After,Escherichia coli,,1.0,4.14,0.0,1.0,0.0,0.0,0.14,0.0,0.0,0.0
1.516242866,0.18085,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.968113926,0.136218693,high,Antibiotic,Before,,Escherichia coli,Other,7.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5203856000000002,0.18941709199999998,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.539688491,0.15619612,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.491767302,0.11173119599999999,high,Antibiotic,Before,,Escherichia coli,Other,29.0,6.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
2.037311666,0.196004905,high,Antibiotic,Before,,Escherichia coli,Other,7.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
1.432860251,0.059256779,high,Antibiotic,Before,Vanc+Gent-Before,Escherichia coli,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.489245999,0.21372580600000002,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.354663437,0.042617814000000004,high,Control,Before,,Escherichia coli,Other,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4283040519999999,0.203140555,high,Control,Before,,Escherichia coli,Other,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4961911490000002,0.24932743699999999,high,Control,Before,,Escherichia coli,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.392739142,0.08989446300000001,high,Antibiotic,Before,Cefotaxime-Before,Escherichia coli,,4.0,4.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
1.482119868,0.015369455,medium,Antibiotic,Before,Vanc+Gent-Before,Escherichia coli,,17.0,6.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1.291365258,0.134672889,high,Antibiotic,After,Vanc+Gent-After,Escherichia coli,,4.0,10.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0
